prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TEMPO,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
BRESCIA,Lombardia,1087,0,0,0,19,0,0,67,0,0,6,0,2,0,0,0,129,0,0,11,349,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,26,0,0,30,7,0,0,0,10,0,0,0,468
PAVIA,Lombardia,484,0,0,0,4,0,0,48,0,0,0,0,0,0,0,0,51,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159,12,0,0,14,0,0,4,5,0,0,0,6,0,7,7,221
CREMONA,Lombardia,317,0,0,0,9,0,0,36,0,0,1,0,1,0,0,0,51,0,0,10,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,117,0,5,0,0,12,0,0,8,8,0,0,0,10,0,4,7,166
MANTOVA,Lombardia,362,0,0,0,0,0,0,16,0,0,0,0,161,0,0,0,50,0,0,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,8,0,0,7,15,0,0,0,7,0,0,0,201
LECCO,Lombardia,295,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,11,0,0,5,0,0,4,3,0,0,0,7,0,4,5,98
LODI,Lombardia,199,0,0,0,2,0,0,26,0,0,0,0,0,0,0,0,24,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,8,0,0,7,1,0,0,0,6,0,3,7,75
MONZA E DELLA BRIANZA,Lombardia,748,0,0,0,3,0,0,82,0,0,0,0,0,0,0,0,45,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,48,0,0,29,0,0,11,1,0,0,0,2,0,7,8,210
TRENTO,Trentino,462,198,124,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
BOLZANO,Trentino,441,3,109,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
VENEZIA,Veneto,754,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,46,0,116,0,0,0,0,0,0,0,5,0,0,0,0,0,122,0,0,0,0,0,0,0,0,54,0,0,3,0,0,0,3,0,0,0,0,272
VERONA,Veneto,799,0,0,222,0,0,0,29,0,0,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,257
VICENZA,Veneto,750,0,0,1,0,0,0,30,0,0,0,0,0,0,0,0,62,0,16,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,14,0,0,0,1,0,0,0,0,286
BELLUNO,Veneto,184,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,13,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,81
ROVIGO,Veneto,217,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,26,0,57,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,102
TREVISO,Veneto,764,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,39,0,112,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,26,0,0,25,0,0,0,119,0,0,0,0,252
PADOVA,Veneto,817,0,0,2,0,0,0,44,0,0,0,0,0,0,0,0,40,0,86,0,0,0,4,0,0,0,154,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28,0,0,13,0,0,0,0,0,0,0,0,280
TRIESTE,Friuli,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
GORIZIA,Friuli,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
PORDENONE,Friuli,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,98,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
UDINE,Friuli,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,19,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252
BOLOGNA,Emilia-Romagna,881,0,0,0,0,0,0,24,43,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,273,103,0,0,0,7,0,0,0,12,0,0,0,389
PIACENZA,Emilia-Romagna,254,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,125
REGGIO EMILIA,Emilia-Romagna,458,0,0,0,0,0,0,44,9,0,0,0,0,0,2,111,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,58,12,0,0,0,5,0,0,0,4,0,0,0,217
MODENA,Emilia-Romagna,608,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,111,0,0,0,0,0,0,0,0,0,79,49,0,0,0,20,0,0,0,5,0,0,0,261
PARMA,Emilia-Romagna,390,0,0,0,0,0,0,15,1,0,0,0,0,0,153,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,2,0,0,0,1,0,0,0,194
FERRARA,Emilia-Romagna,317,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,66,1,0,0,0,0,0,0,0,0,0,72,5,0,0,0,0,0,0,0,4,0,0,0,126
RAVENNA,Emilia-Romagna,344,0,0,0,0,0,0,16,8,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,21,0,0,0,13,0,0,0,10,0,0,0,140
FORLI',Emilia-Romagna,346,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,15,0,0,0,23,0,0,0,13,0,0,0,136
RIMINI,Emilia-Romagna,292,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,12,0,0,0,11,0,0,0,6,0,0,0,105
FIRENZE,Toscana,888,0,0,0,0,0,0,41,38,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,113,0,0,17,0,0,30,0,16,0,0,0,354
MASSA CARRARA,Toscana,178,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,9,0,0,3,0,0,36,0,7,0,0,0,75
LUCCA,Toscana,348,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,8,0,0,5,0,0,79,0,9,0,0,0,140
LIVORNO,Toscana,301,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,1,0,0,111,0,5,0,0,0,132
PISA,Toscana,369,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,16,0,0,7,0,0,126,0,3,0,0,0,188
GROSSETO,Toscana,200,0,0,0,0,0,0,7,1,10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,6,0,0,6,0,0,54,0,3,0,0,0,85
PISTOIA,Toscana,257,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,5,0,0,3,0,0,41,0,3,0,0,0,81
AREZZO,Toscana,305,0,0,0,0,0,0,6,13,39,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,17,0,0,5,0,0,0,0,13,0,0,0,116
SIENA,Toscana,238,0,0,0,0,0,0,8,1,23,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,11,0,0,3,0,0,1,0,0,0,0,0,73
PRATO,Toscana,219,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,18,0,0,4,0,0,25,0,5,0,0,0,103
ANCONA,Marche,418,0,0,0,0,0,101,20,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,163
PESARO URBINO,Marche,317,0,0,0,0,0,24,13,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,146
MACERATA,Marche,282,0,0,0,0,0,58,16,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,145
ASCOLI PICENO,Marche,187,0,0,0,0,0,42,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,81
FERMO,Marche,155,0,0,0,0,0,38,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,54
PERUGIA,Umbria,582,0,0,0,0,0,0,0,39,131,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233
TERNI,Umbria,205,0,0,0,0,0,0,0,23,34,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
ROMA,Lazio,3771,0,0,0,53,0,0,190,305,11,0,61,0,0,0,0,100,0,0,29,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,71,0,51,0,0,24,0,399,408,1510
VITERBO,Lazio,284,0,0,0,11,0,0,8,35,71,0,4,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,12,0,0,10,0,3,5,125
RIETI,Lazio,141,0,0,0,2,0,0,2,16,25,0,2,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,8,0,0,6,0,5,5,59
LATINA,Lazio,498,0,0,0,11,0,0,15,41,0,0,0,0,0,0,0,7,0,0,17,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,7,0,0,9,0,0,2,125
FROSINONE,Lazio,438,0,0,0,5,0,0,10,45,0,0,0,0,0,0,0,38,0,0,33,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,3,0,35,0,0,28,0,6,5,133
L'AQUILA,Abruzzo,270,0,0,0,0,59,0,0,20,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
TERAMO,Abruzzo,273,0,0,0,0,61,0,0,18,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
PESCARA,Abruzzo,282,0,0,0,0,72,0,0,10,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
CHIETI,Abruzzo,347,0,0,0,0,67,0,0,18,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
CAMPOBASSO,Molise,201,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
ISERNIA,Molise,78,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
NAPOLI,Campania,2645,0,0,0,0,0,0,101,150,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,11,0,0,0,671
CASERTA,Campania,787,0,0,0,0,0,0,8,40,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6,0,0,0,133
BENEVENTO,Campania,249,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,74
AVELLINO,Campania,376,0,0,0,0,0,0,15,29,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,12,0,0,0,135
SALERNO,Campania,964,0,0,0,0,0,0,18,46,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,33,0,0,0,227
BARI,Puglia,1102,0,0,0,0,0,0,24,25,0,0,0,0,119,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,14,0,0,0,230
FOGGIA,Puglia,547,0,0,0,0,0,0,20,12,0,0,0,0,75,0,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,122
TARANTO,Puglia,512,0,0,0,0,0,0,19,21,0,0,0,0,50,0,0,43,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,72,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,18,0,0,0,142
BRINDISI,Puglia,351,0,0,0,0,0,0,10,19,0,0,0,0,41,0,0,41,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,65,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,9,0,0,0,111
LECCE,Puglia,708,0,0,0,0,0,0,20,3,0,0,0,0,38,0,0,29,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,114,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,176
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,12,18,0,0,0,0,52,0,0,24,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,77
POTENZA,Basilicata,332,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
MATERA,Basilicata,177,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44
REGGIO CALABRIA,Sicilia,484,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,20,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
COSENZA,Sicilia,631,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,37,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
CATANZARO,Sicilia,319,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
CROTONE,Sicilia,149,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
VIBO VALENTIA,Sicilia,142,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
PALERMO,Sicilia,1100,0,0,0,0,0,0,12,19,0,0,0,0,0,0,0,37,1,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,8,0,0,0,0,0,0,0,0,0,213
TRAPANI,Sicilia,381,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,42
AGRIGENTO,Sicilia,389,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,32,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,76
CALTANISSETTA,Sicilia,236,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,15,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,46,0,0,0,0,0,0,0,0,0,69
ENNA,Sicilia,150,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,40,0,0,0,0,0,0,0,0,0,53
RAGUSA,Sicilia,275,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,16,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,43,0,0,0,0,0,0,0,0,0,68
SIRACUSA,Sicilia,352,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,19,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,60,0,0,0,0,0,0,0,0,0,79
MESSINA,Sicilia,568,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,18,127,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,10,0,0,0,0,0,0,0,0,0,165
CATANIA,Sicilia,959,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,33,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,176,0,0,0,0,0,0,0,0,0,216
CAGLIARI,Sardegna,499,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,183
SASSARI,Sardegna,297,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,151
