prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERO,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA (CR),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
RIMINI,Emilia-Romagna,292,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,24,0,0,5,22,0,0,9,0,0,0,130
FIRENZE,Toscana,890,0,0,0,0,0,0,0,28,31,1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,75,0,0,0,0,36,0,0,0,0,0,311
MASSA CARRARA,Toscana,176,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,5,0,0,0,0,28,0,0,0,0,0,69
LUCCA,Toscana,346,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,23,0,0,0,0,78,0,0,0,0,0,137
LIVORNO,Toscana,300,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0,0,0,95,0,0,0,0,0,122
PISA,Toscana,369,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,19,0,0,0,0,119,0,0,0,0,0,164
GROSSETO,Toscana,199,0,0,0,0,0,0,0,10,4,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,0,0,0,0,56,0,0,0,0,0,89
PISTOIA,Toscana,257,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,9,0,0,0,0,48,0,0,0,0,0,102
AREZZO,Toscana,304,0,0,0,0,0,0,0,11,10,42,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,11,0,0,0,0,0,0,0,0,0,0,120
SIENA,Toscana,237,0,0,0,0,0,0,0,4,11,23,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8,0,0,0,0,0,0,0,0,0,0,79
PRATO,Toscana,219,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,11,0,0,0,0,37,0,0,0,0,0,90
ANCONA,Marche,417,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,29,10,0,0,0,0,0,0,0,0,0,0,150
PESARO URBINO,Marche,316,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,83,17,0,0,0,0,0,0,0,0,0,0,135
MACERATA,Marche,281,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,78,12,0,0,0,0,0,0,0,0,0,0,140
ASCOLI PICENO,Marche,186,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,0,0,0,0,0,0,0,85
FERMO,Marche,155,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,5,0,0,0,0,0,0,0,0,0,0,65
PERUGIA,Umbria,580,0,0,0,0,0,0,0,0,39,117,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220
TERNI,Umbria,204,0,0,0,0,0,0,0,0,11,32,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
ROMA,Lazio,3774,0,0,0,0,0,0,0,200,376,1,0,59,0,0,0,0,109,0,0,51,0,0,0,0,0,0,0,680,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,93,0,0,0,46,0,383,366,1541
VITERBO,Lazio,283,0,0,0,0,0,0,0,3,25,54,0,3,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,2,0,1,1,99
RIETI,Lazio,141,0,0,0,0,0,0,0,4,16,22,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,2,0,1,3,49
LATINA,Lazio,500,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,13,0,0,9,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,6,0,0,0,5,0,1,0,72
FROSINONE,Lazio,436,0,0,0,0,0,0,0,12,21,0,0,2,0,0,0,0,18,0,0,8,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,4,0,1,0,78
L'AQUILA,Abruzzo,269,0,0,0,0,83,0,0,0,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
TERAMO,Abruzzo,273,0,0,0,0,76,0,0,0,19,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
PESCARA,Abruzzo,282,0,0,0,0,67,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
CHIETI,Abruzzo,345,0,0,0,0,74,0,0,0,15,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
CAMPOBASSO,Molise,201,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
ISERNIA,Molise,77,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
NAPOLI,Campania,2650,0,0,0,0,0,0,0,89,140,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,661
CASERTA,Campania,789,0,0,0,0,0,0,0,13,59,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,180
BENEVENTO,Campania,248,0,0,0,0,0,0,0,3,17,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,64
AVELLINO,Campania,375,0,0,0,0,0,0,0,3,30,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,108
SALERNO,Campania,964,0,0,0,0,0,0,0,18,24,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,200
BARI,Puglia,1103,0,0,0,0,0,0,0,23,24,0,0,0,0,151,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,16,0,0,0,254
FOGGIA,Puglia,546,0,0,0,0,0,0,0,16,17,0,0,0,0,84,0,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,151
TARANTO,Puglia,511,0,0,0,0,0,0,0,11,16,0,0,0,0,36,0,0,21,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,47,0,0,0,0,0,0,0,18,0,0,0,0,0,0,12,0,0,0,119
BRINDISI,Puglia,350,0,0,0,0,0,0,0,11,9,0,0,0,0,47,0,0,32,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,84,0,0,0,0,0,0,0,12,0,0,0,0,0,0,13,0,0,0,134
LECCE,Puglia,708,0,0,0,0,0,0,0,18,14,0,0,0,0,28,0,0,35,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,94,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,168
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,0,11,15,0,0,0,0,54,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,82
POTENZA,Basilicata,331,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
MATERA,Basilicata,177,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
REGGIO CALABRIA,Sicilia,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
COSENZA,Sicilia,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
CATANZARO,Sicilia,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61
CROTONE,Sicilia,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
VIBO VALENTIA,Sicilia,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
PALERMO,Sicilia,1097,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,35,3,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,9,0,0,0,0,0,0,0,0,223
TRAPANI,Sicilia,381,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,62
AGRIGENTO,Sicilia,388,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,22,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,57
CALTANISSETTA,Sicilia,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,50,0,0,0,0,0,0,0,0,67
ENNA,Sicilia,149,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,37,0,0,0,0,0,0,0,0,50
RAGUSA,Sicilia,277,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,45,0,0,0,0,0,0,0,0,68
SIRACUSA,Sicilia,351,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,43,0,0,0,0,0,0,0,0,62
MESSINA,Sicilia,566,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,17,80,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,118
CATANIA,Sicilia,959,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,33,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,176,0,0,0,0,0,0,0,0,220
CAGLIARI,Sardegna,499,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,191
SASSARI,Sardegna,297,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,119
