prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA (CO/LC/SO),LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,LEGGO,METRO,QUOTIDIANI AUDIPRESS
MANTOVA,Lombardia,361,0,0,0,3,0,0,21,0,0,0,1,135,0,0,0,36,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,7,0,0,0,1,0,0,0,164
LECCO,Lombardia,296,0,0,0,1,0,0,30,0,0,0,1,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8,0,0,3,0,0,1,0,0,0,5,0,0,1,91
LODI,Lombardia,199,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,1,0,0,3,0,0,0,3,0,0,2,53
MONZA E DELLA BRIANZA,Lombardia,754,0,0,0,4,0,0,88,0,0,1,2,0,0,0,0,83,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,58,0,0,26,0,0,23,0,0,0,10,0,18,16,237
TRENTO,Trentino,465,185,81,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
BOLZANO,Trentino,447,4,104,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
VENEZIA,Veneto,753,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,41,0,146,0,0,0,2,0,0,8,0,0,0,0,0,95,0,0,0,0,0,0,0,33,0,0,13,0,0,5,4,0,0,0,249
VERONA,Veneto,799,0,0,224,0,0,0,31,0,0,0,0,0,0,0,0,61,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,6,0,0,0,295
VICENZA,Veneto,750,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,59,0,11,0,0,0,195,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,0,0,0,8,0,0,0,265
BELLUNO,Veneto,183,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,76
ROVIGO,Veneto,214,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,20,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,1,2,0,0,0,78
TREVISO,Veneto,767,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,54,0,148,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,17,0,0,153,17,0,0,0,291
PADOVA,Veneto,817,0,0,1,0,0,0,37,0,0,0,0,0,0,0,0,53,0,93,0,0,0,7,0,0,163,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,15,0,0,3,13,0,0,0,289
TRIESTE,Friuli,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
GORIZIA,Friuli,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
PORDENONE,Friuli,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,62,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
UDINE,Friuli,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,18,0,0,0,0,0,0,0,0,182,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223
BOLOGNA,Emilia-Romagna,886,0,0,0,0,0,0,26,27,0,0,0,0,0,2,0,33,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,217,84,0,0,16,7,0,0,13,0,0,0,327
PIACENZA,Emilia-Romagna,253,0,0,0,0,0,0,15,2,0,0,0,0,0,1,0,26,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,1,0,0,0,139
REGGIO EMILIA,Emilia-Romagna,458,0,0,0,0,0,0,21,2,0,0,0,0,0,7,98,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,52,20,0,0,2,3,0,0,1,0,0,0,182
MODENA,Emilia-Romagna,608,0,0,0,0,0,0,31,4,0,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,1,111,0,0,0,0,0,0,0,0,75,32,0,0,8,4,0,0,2,0,0,0,233
PARMA,Emilia-Romagna,393,0,0,0,0,0,0,20,2,0,0,0,0,0,164,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,1,0,0,5,0,0,0,205
FERRARA,Emilia-Romagna,312,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,57,20,0,0,5,3,0,0,7,0,0,0,126
RAVENNA,Emilia-Romagna,344,0,0,0,0,0,0,16,9,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,29,0,0,7,17,0,0,12,0,0,0,144
FORLI',Emilia-Romagna,345,0,0,0,0,0,0,21,13,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,22,0,0,7,27,0,0,13,0,0,0,172
RIMINI,Emilia-Romagna,294,0,0,0,0,0,0,20,15,0,0,0,0,0,0,0,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,22,0,0,8,18,0,0,11,0,0,0,138
FIRENZE,Toscana,893,0,0,0,0,0,0,30,40,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,103,0,0,0,0,38,0,13,0,0,0,368
MASSA CARRARA,Toscana,176,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,24,0,2,0,0,0,59
LUCCA,Toscana,345,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,20,0,0,0,0,83,0,7,0,0,0,149
LIVORNO,Toscana,300,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,19,0,0,0,0,102,0,6,0,0,0,130
PISA,Toscana,370,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,16,0,0,0,0,104,0,2,0,0,0,156
GROSSETO,Toscana,199,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,4,0,0,0,0,55,0,11,0,0,0,87
PISTOIA,Toscana,257,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,7,0,0,0,0,40,0,5,0,0,0,98
AREZZO,Toscana,304,0,0,0,0,0,0,7,5,27,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,11,0,0,0,0,1,0,4,0,0,0,106
SIENA,Toscana,237,0,0,0,0,0,0,7,9,29,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,11,0,0,0,0,2,0,4,0,0,0,87
PRATO,Toscana,221,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,0,0,0,0,23,0,4,0,0,0,82
ANCONA,Marche,416,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,153
PESARO URBINO,Marche,316,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,161
MACERATA,Marche,281,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,130
ASCOLI PICENO,Marche,186,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,83
FERMO,Marche,154,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,81
PERUGIA,Umbria,580,0,0,0,0,0,0,0,41,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,219
TERNI,Umbria,203,0,0,0,0,0,0,0,13,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,69
ROMA,Lazio,3789,0,0,0,0,0,0,230,328,2,0,82,0,0,0,0,96,0,0,53,0,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0,82,0,0,0,42,0,402,392,1484
VITERBO,Lazio,282,0,0,0,0,0,0,3,20,44,0,3,0,0,0,0,10,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,2,0,0,2,78
RIETI,Lazio,140,0,0,0,0,0,0,2,15,18,0,3,0,0,0,0,7,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,4,0,3,3,47
LATINA,Lazio,501,0,0,0,0,0,0,5,20,0,0,1,0,0,0,0,14,0,0,2,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,2,0,1,1,78
FROSINONE,Lazio,435,0,0,0,0,0,0,13,32,0,0,3,0,0,0,0,24,0,0,11,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,9,0,0,0,5,0,2,1,104
L'AQUILA,Abruzzo,268,0,0,0,0,74,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
TERAMO,Abruzzo,273,0,0,0,0,53,0,0,14,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
PESCARA,Abruzzo,281,0,0,0,0,68,0,0,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
CHIETI,Abruzzo,344,0,0,0,0,50,0,0,10,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
CAMPOBASSO,Molise,200,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
ISERNIA,Molise,77,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
NAPOLI,Campania,2652,0,0,0,0,0,0,115,159,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,640
CASERTA,Campania,792,0,0,0,0,0,0,16,68,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,188
BENEVENTO,Campania,247,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,65
AVELLINO,Campania,374,0,0,0,0,0,0,8,25,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,114
SALERNO,Campania,965,0,0,0,0,0,0,17,18,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,175
BARI,Puglia,1102,0,0,0,0,0,0,21,24,0,0,0,0,135,0,0,60,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,37,0,0,0,0,0,0,14,0,0,0,234
FOGGIA,Puglia,545,0,0,0,0,0,0,18,21,0,0,0,0,79,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,7,0,0,0,142
TARANTO,Puglia,510,0,0,0,0,0,0,19,15,0,0,0,0,43,0,0,33,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,52,0,0,0,0,0,0,13,0,0,0,0,0,0,16,0,0,0,137
BRINDISI,Puglia,350,0,0,0,0,0,0,8,13,0,0,0,0,48,0,0,32,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,60,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,118
LECCE,Puglia,708,0,0,0,0,0,0,19,11,0,0,0,0,29,0,0,27,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,121,0,0,0,0,0,0,17,0,0,0,0,0,0,8,0,0,0,196
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,12,7,0,0,0,0,57,0,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,83
POTENZA,Basilicata,330,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
MATERA,Basilicata,176,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
REGGIO CALABRIA,Sicilia,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135
COSENZA,Sicilia,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
CATANZARO,Sicilia,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
CROTONE,Sicilia,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
VIBO VALENTIA,Sicilia,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
PALERMO,Sicilia,1096,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,32,1,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,3,0,0,0,0,0,0,0,0,217
TRAPANI,Sicilia,381,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,60
AGRIGENTO,Sicilia,386,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,61
CALTANISSETTA,Sicilia,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,49,0,0,0,0,0,0,0,0,76
ENNA,Sicilia,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,43,0,0,0,0,0,0,0,0,56
RAGUSA,Sicilia,278,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,40,0,0,0,0,0,0,0,0,64
SIRACUSA,Sicilia,351,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,49,0,0,0,0,0,0,0,0,72
MESSINA,Sicilia,562,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,84,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,115
CATANIA,Sicilia,959,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,34,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,166,0,0,0,0,0,0,0,0,207
CAGLIARI,Sardegna,499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,197
SASSARI,Sardegna,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,122
NUORO,Sardegna,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,73
ORISTANO,Sardegna,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,62
OLBIA-TEMPIO,Sardegna,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,56
OGLIASTRA,Sardegna,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,20
MEDIO CAMPIDANO,Sardegna,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,31
