prov,reg,POPOLAZIONE,L'ADIGE,ALTO ADIGE/TRENTINO,L'ARENA,AVVENIRE,IL CENTRO,CORRIERE ADRIATICO,CORRIERE DELLE ALPI,CORRIERE DELLA SERA,CORRIERE DELLO SPORT - STADIO,CORRIERE DELL'UMBRIA VT RI SI AR,L'ECO DI BERGAMO,IL FATTO QUOTIDIANO,GAZZETTA DI MANTOVA,LA GAZZETTA DEL MEZZOGIORNO,GAZZETTA DI PARMA,GAZZETTA DI REGGIO,LA GAZZETTA DELLO SPORT,GAZZETTA DEL SUD,IL GAZZETTINO,IL GIORNALE,GIORNALE DI BRESCIA,GIORNALE DI SICILIA,IL GIORNALE DI VICENZA,LIBERTA',IL MATTINO,IL MATTINO DI PADOVA,IL MESSAGGERO,MESSAGGERO VENETO,LA NUOVA FERRARA,NUOVA GAZZETTA DI MODENA/CARPI,LA NUOVA SARDEGNA,LA NUOVA DI VENEZIA E MESTRE,NUOVO QUOTIDIANO DI PUGLIA,IL PICCOLO,LA PROVINCIA PAVESE,QN IL GIORNO,QN LA NAZIONE,QN IL RESTO DEL CARLINO,LA REPUBBLICA,IL SECOLO XIX,LA SICILIA,IL SOLE 24 ORE,LA STAMPA,IL TIRRENO,LA TRIBUNA DI TREVISO,TUTTOSPORT,L'UNIONE SARDA,QUOTIDIANI AUDIPRESS
PESARO URBINO,Marche,316,0,0,0,0,0,55,0,25,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,154,25,0,0,0,0,0,0,0,0,182
MACERATA,Marche,278,0,0,0,0,0,48,0,13,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,63,4,0,0,0,0,0,0,0,0,104
ASCOLI PICENO,Marche,185,0,0,0,0,0,36,0,12,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,0,0,0,0,64
FERMO,Marche,154,0,0,0,0,0,42,0,9,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,0,0,0,0,0,75
PERUGIA,Umbria,578,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,206
TERNI,Umbria,202,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,68
ROMA,Lazio,3798,0,0,0,0,0,0,0,158,326,14,0,47,0,0,0,0,101,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,287,0,0,68,0,0,0,31,0,1066
VITERBO,Lazio,282,0,0,0,0,0,0,0,5,26,84,0,2,0,0,0,0,13,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,3,0,113
RIETI,Lazio,140,0,0,0,0,0,0,0,3,13,19,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,40
LATINA,Lazio,502,0,0,0,0,0,0,0,25,47,0,0,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,8,0,127
FROSINONE,Lazio,433,0,0,0,0,0,0,0,11,30,0,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,9,0,97
L'AQUILA,Abruzzo,267,0,0,0,0,66,0,0,0,20,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
TERAMO,Abruzzo,272,0,0,0,0,59,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
PESCARA,Abruzzo,280,0,0,0,0,56,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
CHIETI,Abruzzo,343,0,0,0,0,42,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
CAMPOBASSO,Molise,199,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
ISERNIA,Molise,76,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
NAPOLI,Campania,2656,0,0,0,0,0,0,0,99,152,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,22,0,532
CASERTA,Campania,793,0,0,0,0,0,0,0,29,64,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,169
BENEVENTO,Campania,247,0,0,0,0,0,0,0,6,28,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,8,0,68
AVELLINO,Campania,373,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,89
SALERNO,Campania,964,0,0,0,0,0,0,0,16,43,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,20,0,183
BARI,Puglia,1102,0,0,0,0,0,0,0,26,14,0,0,0,0,121,0,0,56,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,12,0,185
FOGGIA,Puglia,544,0,0,0,0,0,0,0,16,24,0,0,0,0,76,0,0,47,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,19,0,134
TARANTO,Puglia,509,0,0,0,0,0,0,0,17,27,0,0,0,0,62,0,0,57,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,97,0,0,0,0,0,20,0,0,0,0,0,0,11,0,171
BRINDISI,Puglia,349,0,0,0,0,0,0,0,11,10,0,0,0,0,38,0,0,40,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,74,0,0,0,0,0,10,0,0,0,0,0,0,9,0,120
LECCE,Puglia,706,0,0,0,0,0,0,0,10,10,0,0,0,0,26,0,0,35,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,127,0,0,0,0,0,13,0,0,0,0,0,0,11,0,178
BARLETTA-ANDRIA-TRANI,Puglia,339,0,0,0,0,0,0,0,17,30,0,0,0,0,69,0,0,39,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,18,0,117
POTENZA,Basilicata,328,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
MATERA,Basilicata,176,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
REGGIO CALABRIA,Sicilia,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
COSENZA,Sicilia,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
CATANZARO,Sicilia,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
CROTONE,Sicilia,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
VIBO VALENTIA,Sicilia,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
PALERMO,Sicilia,1090,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,25,1,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,4,0,0,0,0,7,0,162
TRAPANI,Sicilia,380,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,34
AGRIGENTO,Sicilia,384,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,26,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0,0,9,0,61
CALTANISSETTA,Sicilia,232,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,36,0,0,0,0,6,0,59
ENNA,Sicilia,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,26,0,0,0,0,0,0,44
RAGUSA,Sicilia,278,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,4,0,47
SIRACUSA,Sicilia,350,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,2,0,56
MESSINA,Sicilia,558,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19,84,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,4,0,116
CATANIA,Sicilia,957,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,29,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,145,0,0,0,0,20,0,177
CAGLIARI,Sardegna,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,125
SASSARI,Sardegna,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,132
NUORO,Sardegna,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,65
ORISTANO,Sardegna,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,39
OLBIA-TEMPIO,Sardegna,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,98
OGLIASTRA,Sardegna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIO CAMPIDANO,Sardegna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARBONIA-IGLESIAS,Sardegna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
